,word,tfidf_score,word,tfidf_score
0,대통령,0.06563320278996275,후보,0.1002192071432879
1,탄핵,0.062230312403077866,대통령,0.0635714846085543
2,대표,0.04821827716247313,국민,0.060070579524593444
3,헌재,0.04562901546782962,대선,0.054029313184462
4,민주당,0.04107516145518998,대행,0.051098040573244734
5,국민,0.03997692829547528,경선,0.0490206021026375
6,의원,0.03830981563188358,탄핵,0.0385658068753295
7,대행,0.0339683811142606,의원,0.03790026891333535
8,결정,0.029020174081655515,민주당,0.03662470844564042
9,국회,0.028495771691684352,대표,0.033350465340521565
10,선고,0.028228999925735646,개헌,0.031710435565813364
11,연금,0.025525654384101218,이재명,0.03070170385371171
12,헌법,0.025378748181556027,출마,0.030040716228581472
13,심판,0.024758896551411225,정치,0.025913401264828637
14,윤석열,0.02357163240738359,이날,0.02519718197836353
15,검찰,0.022729608081853234,시장,0.025045047878990284
16,이날,0.022344709403996292,국회,0.02223677745340617
17,이재명,0.02156612036944438,헌법,0.021578419156358122
18,기각,0.02109557889400321,윤석열,0.020913782893706843
19,구속,0.020820551613758665,정부,0.020620003370644804
20,승복,0.020600124499915305,대한민국,0.0186851917710488
21,정부,0.0195824432737328,선거,0.017833624175593695
22,개혁,0.019455906356969623,헌재,0.017348091932150825
23,정치,0.019144901694311028,장관,0.01723137161341827
24,재판관,0.01900437464679493,권한,0.017134757752177654
25,임명,0.018226515753832807,한덕수,0.016516907217609546
26,파면,0.01765888227139927,김문수,0.016435700335523586
27,개헌,0.01756661097941745,생각,0.016421190762041387
28,권한,0.0174112889231147,선언,0.01624324467945113
29,시장,0.01735374683469741,결정,0.01580509239199799
30,석방,0.017034348355916377,계엄,0.015662623861041915
31,법원,0.01698527731527212,조사,0.01490504824186328
32,집회,0.016816014600381176,나라,0.014348197743448152
33,사건,0.016797324018503448,선고,0.014241686009032384
34,국가,0.016770758620974716,한동훈,0.014228385288215387
35,한국,0.01655589769662924,경제,0.014154479730264498
36,대선,0.0164231426115096,보수,0.013996312489404004
37,재판,0.01628421439904371,투표,0.013845138426904036
38,미국,0.015917662128232937,미국,0.013693541188619356
39,수사,0.015701200788525087,사람,0.013502626261684188
40,총리,0.015400637362815084,국민의힘,0.013331698887548173
41,원내,0.015358173594923486,국가,0.01321214122533663
42,대한민국,0.015221170347323705,결과,0.013005324790995894
43,판결,0.014299001920142166,위원장,0.012848263667660424
44,상황,0.01424577297033535,재판,0.01283262804586545
45,선관위,0.01421788655724678,판결,0.01282405303726079
46,여야,0.014125245684109175,사건,0.012643869735022448
47,북한,0.013618774192987541,홍준표,0.01260793274956256
48,생각,0.01358254031590517,입장,0.01254183112038483
49,취소,0.013416830400965214,승리,0.012441731196948084
50,선거,0.013339073105365041,파면,0.012417295932984561
51,주장,0.013100234368651585,여론,0.012411065703290872
52,헌법재판소,0.013039864700236896,지사,0.012375230880230778
53,한덕수,0.012995494382289653,더불어민주당,0.012167181913309302
54,장관,0.012751025030675146,상황,0.011939501496522158
55,판단,0.012365990615147803,주장,0.011921888969910085
56,직무,0.01234833861056823,지지,0.011864505999813082
57,후보자,0.012289897891522185,반대,0.011684425627878114
58,발언,0.012289731873993067,재판관,0.01166198036752273
59,입장,0.012252691038937839,트럼프,0.011625339392775621
60,소추,0.01218101103883086,대법원,0.011556852785321424
61,트럼프,0.012045419091944305,당원,0.011530303095251408
62,서울,0.011771250395927853,안철수,0.011391598388264305
63,결과,0.011563989054592152,의장,0.011337740247717526
64,더불어민주당,0.011506555703331546,서울,0.011303505985133288
65,경제,0.011454434583931968,선출,0.011203423537505324
66,국정,0.011441663411879579,정책,0.011124684364342857
67,감사,0.011045864758511098,내란,0.011124635428194564
68,인용,0.010781960825887836,통합,0.010961026677791573
69,야당,0.0106908897427934,총리,0.010841914400875573
70,내란,0.010611169423244141,50%,0.010588094156418926
71,책임,0.01057571957670942,세력,0.010188086772195433
72,촉구,0.010562361117320805,김동연,0.01010428235888728
73,의견,0.010348090157406353,정권,0.010082226875000409
74,채용,0.010222241954346668,한국,0.009988922590099014
75,반대,0.01021768607216514,권력,0.009882312628696863
76,논의,0.010170397384934355,가능성,0.009865086325315811
77,위원장,0.010060014629688535,책임,0.009856037714900309
78,복귀,0.009979850301659588,ai,0.009821397475383572
79,산불,0.009930865875340136,정당,0.009819684857275971
80,절차,0.009807159465830807,추진,0.009818931940626236
81,공수처,0.009792727499636049,논의,0.009741876527793717
82,각하,0.009747239348992479,국힘,0.009725406437851105
83,나라,0.009746895810162498,개혁,0.009718861553462084
84,요구,0.009729721511557468,관세,0.00964028145760164
85,위반,0.009718731378002287,시작,0.00959614058081451
86,진행,0.009461474384285592,참여,0.009553828279412835
87,국민의힘,0.009390165216549598,페이스북,0.009538008462186399
88,페이스북,0.009308289904035061,김경수,0.009491247078378033
89,외교,0.009303066333838686,확정,0.009416356109947243
90,조사,0.009270458447226501,진행,0.009401415431626947
91,후보,0.009260774793291576,단일,0.009377990336505063
92,사람,0.00917347684330788,미래,0.00933555987796931
93,원내대표,0.009106165895720789,심판,0.009286216820725623
94,처리,0.009016705327912709,토론,0.009201932229654637
95,광화문,0.008967963177811457,공약,0.009156044635044411
96,사회,0.008910030743556169,회의,0.009065655161624869
97,합의,0.008754552022888114,제안,0.009051047109095479
98,계엄,0.00868540772273751,인사,0.009048502910612528
99,혼란,0.008682556941668178,위기,0.009044682987461175
